id,job_id,model,seed,width,height,cost_credits,url
S01,26df9cff-66c2-4832-9fd9-776c435fa789,seedream_v4_5,460356,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_26df9cff-66c2-4832-9fd9-776c435fa789.png
S48,3eee8515-8814-4753-bdf8-49a8efca1afe,seedream_v4_5,650949,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_3eee8515-8814-4753-bdf8-49a8efca1afe.png
S69,a6082402-7cd9-43b3-81fb-42ab0606fd55,seedream_v4_5,379070,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_a6082402-7cd9-43b3-81fb-42ab0606fd55.png
S92,97a444bb-ab27-4c1d-9472-2defa1029c18,seedream_v4_5,543368,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_97a444bb-ab27-4c1d-9472-2defa1029c18.png
CONTROL-S01,fff89977-3af6-46dd-9960-9de054f43dce,flux_2,158867,1280,720,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260818_063848_fff89977-3af6-46dd-9960-9de054f43dce.png
S07,426acd61-ff62-464b-be47-ee9848ccfc94,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_426acd61-ff62-464b-be47-ee9848ccfc94.png
S19,e26005d0-34cd-4b4d-98a6-c2f0bc4ffadc,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_e26005d0-34cd-4b4d-98a6-c2f0bc4ffadc.png
S33,b95027da-1940-48aa-8151-61b372813adc,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_b95027da-1940-48aa-8151-61b372813adc.png
S66,2b6bc243-d32b-4dcd-88e6-b039d3ef3566,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_2b6bc243-d32b-4dcd-88e6-b039d3ef3566.png
S71,463cc4ff-4b48-487e-9d12-fa619cf711fa,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_463cc4ff-4b48-487e-9d12-fa619cf711fa.png
S79,5d264220-c1d8-4437-9d2b-d89c88d9914f,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_5d264220-c1d8-4437-9d2b-d89c88d9914f.png
S85,57fd3f93-4fef-470a-8f18-335cd350f3cc,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_57fd3f93-4fef-470a-8f18-335cd350f3cc.png
S101,8c6edda0-586d-499d-abae-bc90d792288e,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_8c6edda0-586d-499d-abae-bc90d792288e.png
S118,85668da4-2e49-47e4-b3b2-8e7c41436376,seedream_v4_5,,2560,1440,1,https://d8j0ntlcm91z4.cloudfront.net/user_3DIdxOyZbIza4RXcOmzEG5FQVOT/hf_20260819_015313_85668da4-2e49-47e4-b3b2-8e7c41436376.png
